date,petrol,diesel
2003-06-09,74.59,76.77
2003-06-16,74.47,76.69
2003-06-23,74.42,76.62
2003-06-30,74.35,76.51
2003-07-07,74.28,76.46
2003-07-14,74.21,76.41
2003-07-21,75.07,76.9
2003-07-28,75.10,76.86
2003-08-04,75.12,76.81
2003-08-11,75.44,77.08
2003-08-18,75.81,77.44
2003-08-26,76.05,77.68
2003-09-01,76.13,77.59
2003-09-08,76.23,77.67
2003-09-15,76.20,77.63
2003-09-22,76.15,77.55
2003-09-29,76.08,77.53
2003-10-06,76.43,77.66
2003-10-13,75.90,77.43
2003-10-20,76.05,77.54
2003-10-27,76.00,77.51
2003-11-03,76.00,77.52
2003-11-10,75.94,77.47
2003-11-17,75.93,77.52
2003-11-24,76.02,77.67
2003-12-01,76.00,77.66
2003-12-08,75.97,77.63
2003-12-15,75.96,77.62
2003-12-22,75.92,77.61
2003-12-29,75.94,77.6
2004-01-05,75.88,77.54
2004-01-12,75.90,77.54
2004-01-19,76.36,78.06
2004-01-26,76.44,78.08
2004-02-02,76.48,78.13
2004-02-09,76.50,77.98
2004-02-16,76.44,78
2004-02-23,76.38,77.93
2004-03-01,76.32,77.87
2004-03-08,76.73,78.25
2004-03-15,77.39,78.8
2004-03-22,77.44,78.92
2004-03-29,77.59,79.01
2004-04-05,77.86,79.23
2004-04-12,77.88,79.27
2004-04-19,78.04,79.43
2004-04-26,78.40,79.75
2004-05-04,79.28,80.64
2004-05-10,80.30,81.68
2004-05-17,81.49,82.83
2004-05-24,82.13,83.48
2004-05-31,82.35,83.61
2004-06-07,82.44,83.65
2004-06-14,81.54,82.6
2004-06-21,81.04,82.09
2004-06-28,80.41,81.04
2004-07-05,79.87,80.51
2004-07-12,80.34,81.05
2004-07-19,80.84,81.68
2004-07-26,80.87,81.7
2004-08-02,80.86,81.79
2004-08-09,81.18,82.14
2004-08-16,81.25,82.33
2004-08-23,81.51,82.82
2004-08-31,81.53,82.89
2004-09-06,81.37,82.92
2004-09-13,81.31,82.91
2004-09-20,81.28,83.03
2004-09-27,81.63,83.46
2004-10-04,82.05,83.84
2004-10-11,83.11,85.01
2004-10-18,83.35,85.34
2004-10-25,83.94,86.03
2004-11-01,84.27,86.42
2004-11-08,84.34,86.54
2004-11-15,84.26,86.42
2004-11-22,81.46,85.17
2004-11-29,84.17,86.36
2004-12-06,84.06,86.4
2004-12-13,82.73,85.98
2004-12-20,81.46,85.17
2004-12-27,81.20,85.14
2005-01-03,81.17,85.12
2005-01-10,79.84,84.87
2005-01-17,78.93,83.94
2005-01-24,78.93,83.87
2005-01-31,79.54,84.23
2005-02-07,79.84,84.27
2005-02-14,80.03,84.32
2005-02-21,80.15,84.36
2005-02-28,80.45,84.65
2005-03-07,81.16,85.64
2005-03-14,81.64,86.11
2005-03-21,82.70,87.06
2005-03-28,83.40,87.68
2005-04-04,83.91,88.3
2005-04-11,85.61,89.82
2005-04-18,85.63,89.8
2005-04-25,85.51,89.62
2005-05-02,85.44,89.3
2005-05-09,85.36,89.46
2005-05-16,85.27,89.4
2005-05-23,84.77,89
2005-05-30,84.18,88.39
2005-06-06,84.01,88.23
2005-06-13,84.99,88.96
2005-06-20,85.52,89.54
2005-06-27,86.73,90.27
2005-07-04,87.49,91
2005-07-11,87.73,91.89
2005-07-18,88.55,92.67
2005-07-25,89.00,93.03
2005-08-01,89.25,93.26
2005-08-08,89.67,93.63
2005-08-15,90.56,94.5
2005-08-22,90.77,94.68
2005-08-29,91.42,95.33
2005-09-05,94.37,97.19
2005-09-12,95.07,97.89
2005-09-19,94.41,97.32
2005-09-26,93.33,96.27
2005-10-03,93.51,96.61
2005-10-10,94.25,97.05
2005-10-17,94.14,97
2005-10-24,93.47,96.8
2005-10-31,92.79,96.57
2005-11-07,92.47,96.59
2005-11-14,90.53,94.92
2005-11-21,88.61,93.22
2005-11-28,87.35,91.8
2005-12-05,87.35,91.8
2005-12-12,87.20,91.48
2005-12-19,87.56,91.83
2005-12-26,87.88,92.12
2006-01-02,88.03,92.27
2006-01-09,88.56,92.94
2006-01-16,89.01,93.19
2006-01-23,89.55,93.62
2006-01-30,89.88,93.93
2006-02-06,89.73,93.85
2006-02-13,89.65,93.77
2006-02-20,89.60,93.75
2006-02-27,89.51,93.69
2006-03-06,89.37,93.63
2006-03-13,89.55,93.85
2006-03-20,90.19,94.42
2006-03-27,91.16,94.95
2006-04-03,91.78,95.64
2006-04-10,92.77,96.4
2006-04-18,94.23,97.64
2006-04-24,95.35,98.5
2006-05-01,96.13,98.9
2006-05-08,96.46,98.9
2006-05-15,96.39,98.74
2006-05-22,96.10,98.5
2006-05-29,95.36,97.69
2006-06-05,95.24,97.55
2006-06-12,95.49,97.75
2006-06-19,95.44,97.77
2006-06-26,94.97,97.36
2006-07-03,95.27,97.6
2006-07-10,95.69,97.99
2006-07-17,96.88,98.74
2006-07-24,97.78,99.41
2006-07-31,97.83,99.41
2006-08-07,98.05,99.57
2006-08-14,97.82,99.45
2006-08-21,95.74,97.93
2006-08-28,94.40,96.67
2006-09-04,92.88,95.92
2006-09-11,91.48,95.34
2006-09-18,89.78,94.95
2006-09-25,88.20,93.51
2006-10-02,86.95,92.13
2006-10-09,86.60,91.74
2006-10-16,85.91,91.59
2006-10-23,85.74,91.22
2006-10-30,85.60,91.17
2006-11-06,85.54,91.12
2006-11-13,85.49,91.15
2006-11-20,85.45,91.17
2006-11-27,85.47,91.17
2006-12-04,85.46,91.5
2006-12-11,87.44,92.96
2006-12-18,87.70,93.26
2006-12-25,87.90,93.41
2007-01-01,87.85,93.4
2007-01-08,87.66,93.11
2007-01-15,87.10,91.55
2007-01-22,86.28,90.45
2007-01-29,85.66,89.7
2007-02-05,85.62,89.63
2007-02-12,86.12,90.11
2007-02-19,86.60,90.55
2007-02-26,87.07,91.02
2007-03-05,87.74,91.59
2007-03-12,88.48,92.17
2007-03-19,88.93,92.61
2007-03-26,89.32,92.91
2007-04-02,90.47,93.9
2007-04-10,91.18,94.33
2007-04-16,91.99,94.86
2007-04-23,92.93,95.39
2007-04-30,93.45,95.71
2007-05-07,94.43,96.12
2007-05-14,95.07,96.47
2007-05-21,95.71,96.69
2007-05-28,96.16,96.99
2007-06-04,96.51,97.19
2007-06-11,96.61,97.2
2007-06-18,96.56,97.11
2007-06-25,96.54,97.12
2007-07-02,96.36,96.89
2007-07-09,96.20,96.78
2007-07-16,96.21,96.79
2007-07-23,96.23,96.83
2007-07-30,96.20,96.77
2007-08-06,96.15,96.72
2007-08-13,96.00,96.7
2007-08-20,95.31,96.59
2007-08-27,95.00,96.37
2007-09-03,94.80,96.37
2007-09-10,94.63,96.34
2007-09-17,94.65,96.45
2007-09-24,94.91,96.9
2007-10-01,96.39,98.51
2007-10-08,97.14,99.1
2007-10-15,97.19,99.18
2007-10-22,97.81,99.89
2007-10-29,98.26,100.69
2007-11-05,99.36,102.16
2007-11-12,100.74,104.17
2007-11-19,101.47,105.28
2007-11-26,102.13,106.25
2007-12-03,102.58,107.19
2007-12-10,102.67,107.47
